0.0113,	0.0000,	12.0731,	2017-05-30 15:11:47.935759
0.0129,	-0.0005,	12.0527,	2017-05-30 15:11:47.939122
0.0145,	0.0005,	12.0663,	2017-05-30 15:11:47.942487
0.0129,	-0.0002,	12.0595,	2017-05-30 15:11:47.945867
0.0129,	-0.0002,	12.0663,	2017-05-30 15:11:47.949330
0.0145,	0.0000,	12.0629,	2017-05-30 15:11:47.952646
0.0145,	-0.0002,	12.0527,	2017-05-30 15:11:47.956029
0.0129,	0.0006,	12.0527,	2017-05-30 15:11:47.959387
0.0113,	-0.0003,	12.0323,	2017-05-30 15:11:47.963018
0.0145,	0.0008,	12.0663,	2017-05-30 15:11:47.966175
0.0209,	-0.0005,	12.0731,	2017-05-30 15:11:47.969505
0.0129,	-0.0002,	12.0595,	2017-05-30 15:11:47.972876
0.0113,	0.0003,	12.0663,	2017-05-30 15:11:47.976361
0.0161,	0.0003,	12.0697,	2017-05-30 15:11:47.979729
0.0209,	0.0002,	12.0629,	2017-05-30 15:11:47.983103
0.0161,	-0.0003,	12.0595,	2017-05-30 15:11:47.986510
0.0177,	0.0000,	12.0731,	2017-05-30 15:11:47.989900
0.0113,	0.0003,	12.0425,	2017-05-30 15:11:47.993369
0.0113,	-0.0002,	12.0527,	2017-05-30 15:11:47.996989
0.0177,	0.0000,	12.0595,	2017-05-30 15:11:48.000162
0.0177,	-0.0002,	12.0629,	2017-05-30 15:11:48.003485
0.0161,	0.0000,	12.0697,	2017-05-30 15:11:48.006875
0.0161,	-0.0002,	12.0799,	2017-05-30 15:11:48.010342
0.0145,	0.0005,	12.0697,	2017-05-30 15:11:48.013723
0.0129,	0.0000,	12.0663,	2017-05-30 15:11:48.017116
0.0129,	0.0000,	12.0663,	2017-05-30 15:11:48.020514
0.0113,	-0.0002,	12.0595,	2017-05-30 15:11:48.023918
0.0161,	0.0002,	12.0731,	2017-05-30 15:11:48.027373
0.0145,	0.0000,	12.0493,	2017-05-30 15:11:48.030857
0.0113,	0.0000,	12.0493,	2017-05-30 15:11:48.034137
0.0193,	0.0003,	12.0459,	2017-05-30 15:11:48.037488
0.0097,	-0.0002,	12.0765,	2017-05-30 15:11:48.040872
0.0161,	-0.0005,	12.0663,	2017-05-30 15:11:48.044340
0.0145,	0.0000,	12.0629,	2017-05-30 15:11:48.047718
0.0129,	0.0000,	12.0527,	2017-05-30 15:11:48.051190
0.0145,	-0.0002,	12.0731,	2017-05-30 15:11:48.054483
0.0161,	-0.0005,	12.0595,	2017-05-30 15:11:48.057880
0.0097,	0.0005,	12.0629,	2017-05-30 15:11:48.061379
